NR.,CODICE UNIONE,REGIONE,PROVINCIA,DESCRIZIONE UNIONE DI COMUNI,DATA COSTITUZIONE,NR. COMUNI,COMUNI,POP. UOMINI,POP. DONNE,POP. TOTALE
11,4130796010,ABRUZZO,TERAMO,CITTA' TERRITORIO VAL VIBRATA,1-Gen-2000,12,TORANO NUOVO,792,866,1658
12,4130796010,ABRUZZO,TERAMO,CITTA' TERRITORIO VAL VIBRATA,1-Gen-2000,12,TORTORETO,5075,5367,10442
1,4130796040,ABRUZZO,TERAMO,UNIONE COMUNI TERRE DEL SOLE,24-Ago-2017,4,BELLANTE,3542,3618,7160
2,4130796040,ABRUZZO,TERAMO,UNIONE COMUNI TERRE DEL SOLE,24-Ago-2017,4,GIULIANOVA,11082,12117,23199
3,4130796040,ABRUZZO,TERAMO,UNIONE COMUNI TERRE DEL SOLE,24-Ago-2017,4,MORRO D'ORO,1768,1860,3628
4,4130796040,ABRUZZO,TERAMO,UNIONE COMUNI TERRE DEL SOLE,24-Ago-2017,4,MOSCIANO SANT'ANGELO,4593,4658,9251
1,4130796030,ABRUZZO,TERAMO,UNIONE DEI COMUNI MONTANI DELLA LAGA,20-Gen-2014,5,CAMPLI,3579,3697,7276
2,4130796030,ABRUZZO,TERAMO,UNIONE DEI COMUNI MONTANI DELLA LAGA,20-Gen-2014,5,CORTINO,355,328,683
3,4130796030,ABRUZZO,TERAMO,UNIONE DEI COMUNI MONTANI DELLA LAGA,20-Gen-2014,5,ROCCA SANTA MARIA,297,272,569
4,4130796030,ABRUZZO,TERAMO,UNIONE DEI COMUNI MONTANI DELLA LAGA,20-Gen-2014,5,TORRICELLA SICURA,1292,1378,2670
5,4130796030,ABRUZZO,TERAMO,UNIONE DEI COMUNI MONTANI DELLA LAGA,20-Gen-2014,5,VALLE CASTELLANA,535,494,1029
1,4130796020,ABRUZZO,TERAMO,UNIONE DI COMUNI COLLINE DEL MEDIO VOMANO,14-Giu-2011,6,BASCIANO,1226,1212,2438
2,4130796020,ABRUZZO,TERAMO,UNIONE DI COMUNI COLLINE DEL MEDIO VOMANO,14-Giu-2011,6,CANZANO,951,1004,1955
3,4130796020,ABRUZZO,TERAMO,UNIONE DI COMUNI COLLINE DEL MEDIO VOMANO,14-Giu-2011,6,CASTELLALTO,3637,3722,7359
