nr,codice_unione,regione,provincia,descrizione_unione_di_comuni,data_costituzione,nr_comuni,comuni_appartenenti_allunione,pop_uomini,pop_donne,pop_totale
0,4150726030,CAMPANIA,SALERNO,VALLE DELL'ORCO,1-Gen-2003,4,,15013,15481,30494
1, , , , , ,,BRACIGLIANO,2709,2730,5439
2, , , , , ,,CALVANICO,780,790,1570
3, , , , , ,,CASTEL SAN GIORGIO,6573,6838,13411
4, , , , , ,,SIANO,4951,5123,10074
0,2080136070,EMILIA-ROMAGNA,BOLOGNA,APPENNINO BOLOGNESE,1-Gen-2014,11,,24545,24964,49509
1, , , , , ,,CAMUGNANO,994,1006,2000
2, , , , , ,,CASTEL D'AIANO,988,963,1951
3, , , , , ,,CASTEL DI CASIO,1727,1752,3479
4, , , , , ,,CASTIGLIONE DEI PEPOLI,2903,2967,5870
5, , , , , ,,GAGGIO MONTANO,2484,2582,5066
6, , , , , ,,GRIZZANA MORANDI,2044,1938,3982
7, , , , , ,,LIZZANO IN BELVEDERE,1093,1216,2309
8, , , , , ,,MARZABOTTO,3286,3398,6684
9, , , , , ,,MONZUNO,3092,3041,6133
10, , , , , ,,SAN BENEDETTO VAL DI SAMBRO,2208,2185,4393
11, , , , , ,,VERGATO,3726,3916,7642
0,2080136080,EMILIA-ROMAGNA,BOLOGNA,NUOVO CIRCONDARIO IMOLESE,24-Mar-2004,10,,63297,66870,130167
1, , , , , ,,BORGO TOSSIGNANO,1629,1673,3302
2, , , , , ,,CASALFIUMANESE,1718,1743,3461
3, , , , , ,,CASTEL DEL RIO,587,643,1230
4, , , , , ,,CASTEL GUELFO DI BOLOGNA,2100,2177,4277
5, , , , , ,,CASTEL SAN PIETRO TERME,9998,10470,20468
6, , , , , ,,DOZZA,3190,3250,6440
7, , , , , ,,FONTANELICE,972,955,1927
8, , , , , ,,IMOLA,32684,35208,67892
9, , , , , ,,MEDICINA,8068,8458,16526
10, , , , , ,,MORDANO,2351,2293,4644
0,2080136050,EMILIA-ROMAGNA,BOLOGNA,TERRE DI PIANURA,1-Gen-2011,4,,17049,17925,34974
1, , , , , ,,BARICELLA,3304,3459,6763
2, , , , , ,,GRANAROLO DELL'EMILIA,5241,5525,10766
3, , , , , ,,MALALBERGO,4308,4463,8771
4, , , , , ,,MINERBIO,4196,4478,8674
0,2080136020,EMILIA-ROMAGNA,BOLOGNA,UNIONE DEI COMUNI SAVENA-IDICE,1-Gen-2009,5,,21583,22270,43853
1, , , , , ,,LOIANO,2227,2207,4434
2, , , , , ,,MONGHIDORO,1901,1905,3806
3, , , , , ,,MONTERENZIO,2926,2927,5853
4, , , , , ,,OZZANO DELL'EMILIA,6301,6569,12870
5, , , , , ,,PIANORO,8228,8662,16890
0,2080136010,EMILIA-ROMAGNA,BOLOGNA,"UNIONE DEI COMUNI VALLI DEL RENO, LAVINO E SAMOGGIA",1-Gen-2009,5,,52084,56074,108158
1, , , , , ,,CASALECCHIO DI RENO,16488,18685,35173
2, , , , , ,,MONTE SAN PIETRO,5297,5523,10820
3, , , , , ,,SASSO MARCONI,7003,7542,14545
4, , , , , ,,VALSAMOGGIA,14494,14933,29427
5, , , , , ,,ZOLA PREDOSA,8802,9391,18193
0,2080136040,EMILIA-ROMAGNA,BOLOGNA,UNIONE RENO GALLIERA,1-Gen-2008,8,,34861,36412,71273
1, , , , , ,,ARGELATO,4736,4920,9656
2, , , , , ,,BENTIVOGLIO,2637,2721,5358
3, , , , , ,,CASTEL MAGGIORE,8430,9077,17507
4, , , , , ,,CASTELLO D'ARGILE,3243,3215,6458
5, , , , , ,,GALLIERA,2666,2796,5462
6, , , , , ,,PIEVE DI CENTO,3378,3517,6895
7, , , , , ,,SAN GIORGIO DI PIANO,3968,4233,8201
8, , , , , ,,SAN PIETRO IN CASALE,5803,5933,11736
0,2080136060,EMILIA-ROMAGNA,BOLOGNA,UNIONE TERRE D'ACQUA,16-Lug-2012,6,,39666,41237,80903
1, , , , , ,,ANZOLA DELL'EMILIA,5884,5967,11851
2, , , , , ,,CALDERARA DI RENO,6486,6662,13148
3, , , , , ,,CREVALCORE,6592,6935,13527
4, , , , , ,,SALA BOLOGNESE,4124,4121,8245
5, , , , , ,,SAN GIOVANNI IN PERSICETO,13028,13964,26992
6, , , , , ,,SANT'AGATA BOLOGNESE,3552,3588,7140
0,2080296010,EMILIA-ROMAGNA,FERRARA,TERRE E FIUMI,1-Gen-2010,3,,15656,17233,32889
1, , , , , ,,COPPARO,8065,8952,17017
2, , , , , ,,RIVA DEL PO,4100,4408,8508
3, , , , , ,,TRESIGNANA,3491,3873,7364
0,2080296040,EMILIA-ROMAGNA,FERRARA,UNIONE DEI COMUNI TERRE DEL DELTA,1-Gen-2023,3,,11305,12119,23424
1, , , , , ,,CODIGORO,5910,6479,12389
2, , , , , ,,GORO,1899,1996,3895
3, , , , , ,,MESOLA,3496,3644,7140
0,2080296020,EMILIA-ROMAGNA,FERRARA,UNIONE DEI COMUNI VALLI E DELIZIE,3-Apr-2013,3,,19571,21200,40771
1, , , , , ,,ARGENTA,10617,11516,22133
2, , , , , ,,OSTELLATO,3134,3319,6453
3, , , , , ,,PORTOMAGGIORE,5820,6365,12185
0,2080326040,EMILIA-ROMAGNA,FORLI'-CESENA,ROMAGNA FORLIVESE,18-Gen-2014,14,,33703,34827,68530
